zlib;8;12;10;304.44 MB;294.59 MB;294.59 MB;73760;73778
zlib;9;14;10;309.59 MB;301.95 MB;301.88 MB;196450;196512
zlib;8;13;11;306.18 MB;296.86 MB;296.83 MB;115147;115175
zlib;9;17;11;306.30 MB;297.32 MB;297.26 MB;117939;117968
zlib;9;14;12;304.09 MB;293.79 MB;293.75 MB;65353;65368
zlib;10;17;12;303.82 MB;293.45 MB;293.41 MB;58896;58908
zlib;10;15;13;302.74 MB;291.48 MB;291.46 MB;33226;33233
zlib;11;18;13;302.58 MB;291.22 MB;291.20 MB;29332;29337
zlib;11;16;14;302.05 MB;290.13 MB;290.12 MB;16676;16677
zlib;12;20;14;301.96 MB;289.96 MB;289.96 MB;14745;14745
zlib;12;19;15;301.69 MB;289.30 MB;289.30 MB;8119;8119
zlib;13;20;16;301.53 MB;288.85 MB;288.85 MB;4148;4148
zlib;14;21;17;301.44 MB;288.63 MB;288.63 MB;2162;2162
zlib;14;20;18;301.40 MB;288.53 MB;288.53 MB;1240;1240
zlib;15;21;19;301.37 MB;288.47 MB;288.47 MB;660;660
zlib;16;22;20;301.36 MB;288.44 MB;288.44 MB;396;396
zlib;20;23;21;301.35 MB;288.41 MB;288.41 MB;179;179
zlib;18;18;18;301.40 MB;288.51 MB;288.51 MB;1214;1214
