lz4;8;12;10;7.59 GB;6.52 GB;5.28 GB;1484121;1838713
lz4;9;14;10;7.72 GB;6.76 GB;5.33 GB;3747225;4803296
lz4;8;13;11;7.63 GB;6.58 GB;5.27 GB;2233899;2828335
lz4;9;16;11;7.64 GB;6.60 GB;5.26 GB;2260749;2872236
lz4;9;14;12;7.58 GB;6.48 GB;5.25 GB;1278309;1600014
lz4;10;16;12;7.58 GB;6.46 GB;5.24 GB;1146788;1433849
lz4;10;15;13;7.55 GB;6.38 GB;5.32 GB;660416;810910
lz4;11;18;13;7.55 GB;6.37 GB;5.32 GB;584096;714684
lz4;11;16;14;7.53 GB;6.31 GB;5.41 GB;339053;409266
lz4;12;19;14;7.53 GB;6.31 GB;5.42 GB;300196;358873
lz4;11;17;15;7.53 GB;6.27 GB;5.52 GB;183987;218582
lz4;12;19;15;7.52 GB;6.27 GB;5.52 GB;170684;200124
lz4;12;18;16;7.52 GB;6.25 GB;5.62 GB;95123;108490
lz4;13;20;16;7.52 GB;6.24 GB;5.62 GB;88314;100366
lz4;13;19;17;7.52 GB;6.22 GB;5.72 GB;47810;52926
lz4;14;21;17;7.52 GB;6.22 GB;5.74 GB;44309;48841
lz4;14;20;18;7.52 GB;6.22 GB;5.81 GB;24421;26545
lz4;15;22;18;7.52 GB;6.21 GB;5.84 GB;22646;24529
lz4;15;21;19;7.52 GB;6.21 GB;5.91 GB;12205;13014
lz4;16;23;19;7.52 GB;6.21 GB;5.93 GB;11279;11997
lz4;16;22;20;7.52 GB;6.21 GB;5.99 GB;6200;6474
lz4;18;23;20;7.52 GB;6.21 GB;6.00 GB;5256;5458
lz4;17;22;21;7.52 GB;6.21 GB;6.04 GB;3700;3820
lz4;20;23;21;7.52 GB;6.21 GB;6.06 GB;2328;2384
lz4;23;23;23;7.52 GB;6.21 GB;6.21 GB;900;900
lz4;23;23;32;7.52 GB;6.21 GB;6.21 GB;900;900
lz4;20;20;20;7.52 GB;6.21 GB;6.18 GB;7134;7187
lz4;20;20;23;7.52 GB;6.21 GB;6.18 GB;7134;7187
lz4;20;20;15;7.52 GB;6.21 GB;6.18 GB;7134;7187
